G3E_FID,MUNICIPIO,SUBESTACIO,CIRCUITO,CIRCUITO_S,EST_ESTABL,TIPO_AISLA,TIPO_RED,TENSION,FASES,LATITUDE,LONGITUDE,FECHA_COLO,FECHA_MODI,CLASIFICAC,NODO1_ID,NODO2_ID,NUMERO_FAS,MUNICIPIO_CODE,SUBREGION
4115654,TURBO,CHIGORODO,403-16,403-16,CLOSED,NORMAL,PRIMARIA,7.621,T,7.478680000000001,-76.69208,2007-12-06,2019-10-18,RURAL,51148589,51148590,1F,5837,APARTADO
4115657,CHIGORODÓ,CHIGORODO,403-16,403-16,CLOSED,NORMAL,PRIMARIA,7.621,R,7.57476,-76.62586999999999,2007-12-06,2020-04-24,RURAL,47636661,51148627,1F,5172,APARTADO
4115659,CHIGORODÓ,CHIGORODO,403-16,403-16,CLOSED,NORMAL,PRIMARIA,7.621,S,7.557119999999999,-76.61513000000001,2007-12-06,2020-04-24,RURAL,57368114,57742128,1F,5172,APARTADO
4115660,CHIGORODÓ,CAUCHERAS,404-12,404-12,CLOSED,NORMAL,PRIMARIA,7.621,R,7.52118,-76.59795,2007-12-06,2018-07-07,RURAL,47639963,51148644,1F,5172,APARTADO
4115661,CHIGORODÓ,CAUCHERAS,404-12,404-12,CLOSED,NORMAL,PRIMARIA,7.621,R,7.51845,-76.595,2007-12-06,2018-07-07,RURAL,51148646,51148647,1F,5172,APARTADO
4115662,CHIGORODÓ,CAUCHERAS,404-12,404-12,CLOSED,NORMAL,PRIMARIA,7.621,S,7.512580000000001,-76.5892,2007-12-06,2018-07-07,RURAL,47639981,51148648,1F,5172,APARTADO
4115663,CHIGORODÓ,CAUCHERAS,404-12,404-12,CLOSED,NORMAL,PRIMARIA,7.621,S,7.5046100000000004,-76.58322,2007-12-06,2018-07-07,RURAL,47639999,51148654,1F,5172,APARTADO
4115665,MUTATÁ,CAUCHERAS,404-12,404-12,CLOSED,NORMAL,PRIMARIA,7.621,S,7.46787,-76.5509,2007-12-06,2020-04-28,RURAL,47640074,51148678,1F,5480,APARTADO
4115667,MUTATÁ,CAUCHERAS,404-12,404-12,OPEN,DE REPETICION,PRIMARIA,7.621,R,7.429819999999999,-76.53792,2007-12-06,2019-10-01,RURAL,47640119,57976098,1F,5480,APARTADO
4115669,MUTATÁ,CAUCHERAS,404-11,404-11,CLOSED,NORMAL,PRIMARIA,13.2,TSR,7.24379,-76.43670999999999,2007-12-06,2018-07-07,URBANO,47637185,53140498,3F,5480,APARTADO
4115675,MUTATÁ,CAUCHERAS,404-11,404-11,CLOSED,NORMAL,PRIMARIA,13.2,TSR,7.24194,-76.43441999999999,2007-12-06,2018-07-07,RURAL,57619247,57619958,3F,5480,APARTADO
4115677,MUTATÁ,CAUCHERAS,404-12,404-12,CLOSED,NORMAL,PRIMARIA,7.621,R,7.3741,-76.57670999999999,2007-12-06,2018-07-07,RURAL,47637502,57365657,1F,5480,APARTADO
4115685,SAN PEDRO DE URABÁ,S.PEDRO URABA,407-13,407-13,CLOSED,NORMAL,PRIMARIA,13.2,SRT,8.2894,-76.39554,2007-12-06,2018-07-07,RURAL,47640502,53142966,3F,5665,TURBO
4115686,TURBO,S.PEDRO URABA,407-13,407-13,CLOSED,NORMAL,PRIMARIA,13.2,SRT,8.28782,-76.3954,2007-12-06,2020-05-06,RURAL,53142971,53142973,3F,5837,TURBO
4115690,TURBO,S.PEDRO URABA,407-13,407-13,CLOSED,NORMAL,PRIMARIA,7.621,S,8.29696,-76.40293,2007-12-06,2018-04-18,RURAL,47640456,53142999,1F,5837,TURBO
4115691,TURBO,S.PEDRO URABA,407-13,407-13,CLOSED,NORMAL,PRIMARIA,7.621,S,8.31423,-76.39523,2007-12-06,2017-04-04,RURAL,47640505,53143003,1F,5837,TURBO
4115696,TURBO,S.PEDRO URABA,407-13,407-13,CLOSED,NORMAL,PRIMARIA,7.621,R,8.35533,-76.47846,2007-12-06,2016-02-02,RURAL,47674536,53143057,1F,5837,TURBO
4115698,TURBO,S.PEDRO URABA,407-13,407-13,CLOSED,NORMAL,PRIMARIA,13.2,SRT,8.366660000000001,-76.48445,2007-12-06,2016-02-02,RURAL,47643331,53143059,3F,5837,TURBO
4115699,TURBO,S.PEDRO URABA,407-13,407-13,CLOSED,NORMAL,PRIMARIA,7.621,T,8.372530000000001,-76.48533,2007-12-06,2016-06-29,RURAL,47643325,53143064,1F,5837,TURBO
4115701,TURBO,S.PEDRO URABA,407-13,407-13,CLOSED,NORMAL,PRIMARIA,7.621,R,8.27946,-76.4189,2007-12-06,2012-06-07,RURAL,57416513,57416554,1F,5837,TURBO
4115702,TURBO,S.PEDRO URABA,407-13,407-13,CLOSED,NORMAL,PRIMARIA,7.621,R,8.27972,-76.41644000000001,2007-12-06,2016-02-02,RURAL,47640389,53143153,1F,5837,TURBO
4115956,APARTADÓ,NUEVA COLONIA,406-11,406-11,CLOSED,NORMAL,PRIMARIA,7.621,S,7.90504,-76.72454,2007-12-06,2019-10-18,RURAL,51141762,51141764,1F,5045,TURBO
4115957,APARTADÓ,NUEVA COLONIA,406-11,406-11,CLOSED,NORMAL,PRIMARIA,7.621,S,7.90504,-76.72454,2007-12-06,2019-10-18,RURAL,51141762,51141763,1F,5045,TURBO
4115958,APARTADÓ,APARTADO,401-11,401-11,CLOSED,NORMAL,PRIMARIA,13.2,RST,7.875139999999999,-76.60961,2007-12-06,2018-07-07,URBANO,57374257,57492918,3F,5045,APARTADO
4115961,APARTADÓ,APARTADO,401-11,401-11,CLOSED,NORMAL,PRIMARIA,13.2,SRT,7.87515,-76.60803,2007-12-06,2020-01-23,URBANO,57374269,57140517,3F,5045,APARTADO
4115963,APARTADÓ,APARTADO,401-11,401-11,OPEN,NORMAL,PRIMARIA,7.621,T,7.867260000000001,-76.60508,2007-12-06,2019-07-11,RURAL,57140501,57955018,1F,5045,APARTADO
4115965,APARTADÓ,APARTADO,401-11,401-11,CLOSED,NORMAL,PRIMARIA,7.621,T,7.8819,-76.59818,2007-12-06,2018-07-07,RURAL,47632840,51141315,1F,5045,APARTADO
4115966,APARTADÓ,APARTADO,401-11,401-11,CLOSED,NORMAL,PRIMARIA,7.621,T,7.88191,-76.59818,2007-12-06,2018-07-07,RURAL,47632840,51141314,1F,5045,APARTADO
4115968,APARTADÓ,APARTADO,401-11,401-11,CLOSED,NORMAL,PRIMARIA,7.621,T,7.883589999999999,-76.59286999999999,2007-12-06,2018-07-07,RURAL,47674140,51141320,1F,5045,APARTADO
4115969,APARTADÓ,APARTADO,401-11,401-11,CLOSED,NORMAL,PRIMARIA,7.621,S,7.88219,-76.58917,2007-12-06,2018-07-07,RURAL,47632848,51141321,1F,5045,APARTADO
4115970,APARTADÓ,APARTADO,401-11,401-11,CLOSED,NORMAL,PRIMARIA,7.621,S,7.87666,-76.58416,2007-12-06,2018-07-07,RURAL,47632852,51141323,1F,5045,APARTADO
4115971,APARTADÓ,APARTADO,401-11,401-11,CLOSED,DE REPETICION,PRIMARIA,7.621,S,7.878610000000001,-76.58363,2007-12-06,2020-01-21,RURAL,51141330,51141331,1F,5045,APARTADO
4115972,APARTADÓ,APARTADO,401-11,401-11,CLOSED,NORMAL,PRIMARIA,7.621,T,7.867260000000001,-76.57545999999999,2007-12-06,2018-07-07,RURAL,47632866,51141345,1F,5045,APARTADO
4115974,APARTADÓ,APARTADO,401-11,401-11,CLOSED,DE REPETICION,PRIMARIA,7.621,S,7.86573,-76.57209,2007-12-06,2018-07-07,RURAL,47632869,53149611,1F,5045,APARTADO
4115975,APARTADÓ,APARTADO,401-11,401-11,CLOSED,NORMAL,PRIMARIA,7.621,T,7.88012,-76.56459,2007-12-06,2018-07-07,RURAL,47632884,51141354,1F,5045,APARTADO
4115978,APARTADÓ,APARTADO,401-11,401-11,CLOSED,DE REPETICION,PRIMARIA,7.621,T,7.8839,-76.56151,2007-12-06,2018-07-07,RURAL,47632890,51141368,1F,5045,APARTADO
4115982,APARTADÓ,APARTADO,401-11,401-11,CLOSED,NORMAL,PRIMARIA,13.2,RTS,7.879510000000001,-76.61152,2007-12-06,2018-07-07,URBANO,47632711,51143566,3F,5045,APARTADO
4115984,APARTADÓ,APARTADO,401-11,401-11,CLOSED,NORMAL,PRIMARIA,7.621,R,7.87717,-76.61225999999999,2007-12-06,2018-07-07,URBANO,47632695,51143561,1F,5045,APARTADO
4115987,APARTADÓ,APARTADO,401-11,401-11,CLOSED,NORMAL,PRIMARIA,13.2,STR,7.87938,-76.61015,2007-12-06,2018-07-07,URBANO,51141523,51141524,3F,5045,APARTADO
4115988,APARTADÓ,APARTADO,401-11,401-11,CLOSED,NORMAL,PRIMARIA,7.621,T,7.87798,-76.61058,2007-12-06,2020-03-03,URBANO,47632738,51141464,1F,5045,APARTADO
4115989,APARTADÓ,APARTADO,401-11,401-11,CLOSED,NORMAL,PRIMARIA,7.621,S,7.87798,-76.61058,2007-12-06,2020-03-03,URBANO,47632738,51141465,1F,5045,APARTADO
4115991,APARTADÓ,APARTADO,401-11,401-11,CLOSED,NORMAL,PRIMARIA,7.621,S,7.88001,-76.6087,2007-12-06,2018-07-07,URBANO,47674137,51141429,1F,5045,APARTADO
4115997,APARTADÓ,NUEVA COLONIA,406-11,406-11,CLOSED,NORMAL,PRIMARIA,7.621,T,7.9249600000000004,-76.61496,2007-12-06,2018-07-07,RURAL,47632670,53150172,1F,5045,APARTADO
4115998,APARTADÓ,APARTADO,401-11,401-11,CLOSED,NORMAL,PRIMARIA,7.621,S,7.92212,-76.62164,2007-12-06,2018-07-07,RURAL,57667222,57667226,1F,5045,APARTADO
4115999,APARTADÓ,APARTADO,401-11,401-11,CLOSED,NORMAL,PRIMARIA,13.2,STR,7.910010000000001,-76.62469,2007-12-06,2018-07-07,RURAL,47632558,53150236,3F,5045,APARTADO
4116000,APARTADÓ,APARTADO,401-11,401-11,CLOSED,NORMAL,PRIMARIA,7.621,T,7.90941,-76.62501999999999,2007-12-06,2020-03-27,RURAL,47632556,51141704,1F,5045,APARTADO
