G3E_FID,MUNICIPIO,SUBESTACIO,CIRCUITO,CIRCUITO_S,EST_ESTABL,CUCHILL_CODE,TIPO_RED,TENSION,FASES,USO,LATITUDE,LONGITUDE,FECHA_COLO,FECHA_MODI,CLASIFICAC,NODO1_ID,NODO2_ID,SUBESTACI1,NUMERO_FAS,MUNICIPIO_CODE,SUBREGION
6001428,TURBO,URABA,411-42,411-42,CLOSED,C4401,SUBTRANSMISION,44.0,RST,SALIDA DE CTO,8.05216,-76.65406,2008-01-15,2020-03-13,RURAL,0,58013386,URABA,3F,5837,TURBO
6001437,TURBO,URABA,411-43,411-43,CLOSED,C4402,SUBTRANSMISION,44.0,RST,SALIDA DE CTO,8.05222,-76.65406,2008-01-15,2014-07-30,RURAL,51140744,51140746,URABA,3F,5837,TURBO
6001440,TURBO,URABA,411-44,411-44,CLOSED,C4403,SUBTRANSMISION,44.0,TSR,SALIDA DE CTO,8.05222,-76.65406,2008-01-15,2014-07-30,RURAL,51140749,51140751,URABA,3F,5837,TURBO
6001692,APARTADÓ,APARTADO,401-41,401-41,CLOSED,C4396,SUBTRANSMISION,44.0,TSR,SALIDA DE CTO,7.874569999999999,-76.61059,2008-01-17,2018-07-07,URBANO,51141268,51141269,APARTADO,3F,5045,APARTADO
6001708,APARTADÓ,APARTADO,401-11,401-11,CLOSED,C41180,PRIMARIA,13.2,RST,SALIDA DE CTO,7.87513,-76.61005,2008-01-17,2018-07-07,URBANO,57526396,57374255,APARTADO,3F,5045,APARTADO
6001771,APARTADÓ,APARTADO,401-42,401-42,CLOSED,C4397,SUBTRANSMISION,44.0,TSR,SALIDA DE CTO,7.875210000000001,-76.6105,2008-01-18,2018-07-07,URBANO,51141500,51141503,APARTADO,3F,5045,APARTADO
6001968,APARTADÓ,APARTADO,401-16,401-16,CLOSED,C41174,PRIMARIA,13.2,STR,SALIDA DE CTO,7.874569999999999,-76.61071,2008-01-21,2018-07-07,URBANO,57526414,47637081,APARTADO,3F,5045,APARTADO
6001978,APARTADÓ,APARTADO,401-13,401-13,CLOSED,C41177,PRIMARIA,13.2,RTS,SALIDA DE CTO,7.875210000000001,-76.61049,2008-01-21,2018-07-07,URBANO,57526405,51142128,APARTADO,3F,5045,APARTADO
6002037,APARTADÓ,APARTADO,401-14,401-14,CLOSED,C41178,PRIMARIA,13.2,RST,SALIDA DE CTO,7.875139999999999,-76.61067,2008-01-21,2018-07-07,URBANO,57527033,47633221,APARTADO,3F,5045,APARTADO
6002075,APARTADÓ,APARTADO,401-15,401-15,CLOSED,C41179,PRIMARIA,13.2,RST,SALIDA DE CTO,7.87517,-76.61066,2008-01-21,2018-07-07,URBANO,57526411,47633381,APARTADO,3F,5045,APARTADO
6002228,APARTADÓ,APARTADO,401-17,401-17,CLOSED,C41175,PRIMARIA,13.2,RTS,SALIDA DE CTO,7.87458,-76.61076,2008-01-22,2018-07-07,URBANO,57526415,51143061,APARTADO,3F,5045,APARTADO
