G3E_FID,MUNICIPIO,SUBESTACIO,CIRCUITO,CIRCUITO_S,EST_ESTABL,RECONEC_CODE,TIPO_RED,TENSION,FASES,LATITUDE,LONGITUDE,FECHA_COLO,FECHA_MODI,CLASIFICAC,NODO1_ID,NODO2_ID,UBICACION_,FECHA_ACTU,MUNICIPIO_CODE,SUBREGION
12074342,CHIGORODÓ,CHIGORODO,403-12,403-12,CLOSED,R813,PRIMARIA,13.2,SRT,7.671539999999999,-76.69638,2008-10-18,2020-06-09,RURAL,57499751,57499752,12074342-5,2018-04-05,5172,APARTADO
12223211,CHIGORODÓ,CHIGORODO,403-12,403-12,CLOSED,R4476,PRIMARIA,7.621,T,7.6670300000000005,-76.69976,2009-09-01,2020-06-09,RURAL,57391577,57391582,12223211-5,2018-04-05,5172,APARTADO
12265633,TURBO,NUEVA COLONIA,406-11,406-11,CLOSED,R792,PRIMARIA,13.2,RST,7.9358699999999995,-76.69778000000001,2009-10-27,2020-06-09,RURAL,57492468,57492469,12265633-5,2018-04-16,5837,TURBO
12275085,TURBO,NUEVA COLONIA,406-11,406-11,CLOSED,R1470,PRIMARIA,13.2,RST,7.93589,-76.66136999999999,2009-11-11,2020-06-09,RURAL,57507917,57386607,12275085-5,2018-04-16,5837,TURBO
12282763,SAN JUAN DE URABÁ,ARBOLETES,409-12,409-12,CLOSED,R499,PRIMARIA,13.2,RST,8.752,-76.53442,2009-11-23,2020-06-09,RURAL,57420369,57420371,12282763-5,2018-04-13,5659,TURBO
12357222,CHIGORODÓ,CHIGORODO,403-16,403-16,CLOSED,R887,PRIMARIA,13.2,RST,7.584410000000001,-76.6315,2010-03-10,2018-07-07,RURAL,57392502,57392508,12357222-5,2018-04-16,5172,APARTADO
12402964,CAREPA,CAREPA,412-14,412-14,CLOSED,RA657,PRIMARIA,13.2,TSR,7.75339,-76.63861,2010-05-31,2020-06-09,RURAL,57949570,57960380,12402964-5,2018-03-24,5147,APARTADO
12427142,NECOCLÍ,NECOCLI,415-11,415-11,CLOSED,R809,PRIMARIA,13.2,TSR,8.427810000000001,-76.78913,2010-07-09,2020-06-09,URBANO,57347439,57491157,12427142-5,2018-04-13,5490,TURBO
12496286,CAREPA,CAREPA,412-11,412-11,CLOSED,R900,PRIMARIA,13.2,SRT,7.7549600000000005,-76.66036,2010-10-15,2020-06-09,URBANO,57501071,57501072,12496286-5,2018-04-10,5147,APARTADO
12628251,MUTATÁ,CAUCHERAS,404-11,404-11,CLOSED,R1014,PRIMARIA,7.621,T,7.2390300000000005,-76.4333,2011-01-26,2020-06-09,RURAL,58015690,58015691,12628251-5,2018-04-16,5480,APARTADO
12662826,NECOCLÍ,NECOCLI,415-12,415-12,CLOSED,RA504,PRIMARIA,13.2,STR,8.413160000000001,-76.75596999999999,2011-03-19,2020-06-09,RURAL,57399256,57336781,12662826-5,2018-04-16,5490,TURBO
12702541,TURBO,URABA,411-13,411-13,CLOSED,R1299,PRIMARIA,13.2,RST,8.0727,-76.64654,2011-05-25,2020-06-09,RURAL,57981858,57981857,12702541-5,2018-04-16,5837,TURBO
12819997,CHIGORODÓ,CHIGORODO,403-16,403-16,CLOSED,R1013,PRIMARIA,13.2,TR,7.572710000000001,-76.65332,2012-02-09,2020-06-09,RURAL,57408740,57395524,12819997-5,2018-04-16,5172,APARTADO
12867607,TURBO,URABA,411-11,411-11,CLOSED,R844,PRIMARIA,13.2,TSR,7.997310000000001,-76.62923,2012-05-02,2020-06-09,RURAL,57500002,57500003,12867607-5,2018-04-16,5837,TURBO
12875501,ARBOLETES,ARBOLETES,409-11,409-11,CLOSED,RA687,PRIMARIA,7.621,R,8.836789999999999,-76.40666,2012-05-11,2020-06-09,RURAL,57413867,57413868,12875501-5,2018-04-09,5051,TURBO
13080523,MUTATÁ,CAUCHERAS,404-12,404-12,CLOSED,R790,PRIMARIA,13.2,TSR,7.342639999999999,-76.49073,2013-03-13,2018-07-07,RURAL,57584980,57333393,13080523-5,2018-04-16,5480,APARTADO
13087137,NECOCLÍ,NECOCLI,415-13,415-13,CLOSED,R810,PRIMARIA,13.2,RST,8.532860000000001,-76.67978000000001,2013-03-20,2018-07-07,RURAL,57516732,57516733,13087137-5,2018-04-13,5490,TURBO
13093571,TURBO,CIRILO,413-11,413-11,CLOSED,R415,PRIMARIA,13.2,RST,8.197569999999999,-76.74493000000001,2013-04-08,2019-12-27,RURAL,53163419,57494123,13093571-5,2018-04-16,5837,TURBO
13093827,TURBO,TURBO,402-14,402-14,CLOSED,R827,PRIMARIA,13.2,RST,8.09865,-76.72943000000001,2013-04-09,2018-07-07,URBANO,57277726,57277727,13093827-5,2018-04-16,5837,TURBO
13093993,TURBO,TURBO,402-16,402-16,CLOSED,R829,PRIMARIA,13.2,RST,8.09249,-76.72568000000001,2013-04-09,2017-07-24,URBANO,57276983,57276985,13093993-5,2018-03-08,5837,TURBO
13094360,APARTADÓ,APARTADO,401-13,401-13,CLOSED,R802,PRIMARIA,13.2,STR,7.88893,-76.63368,2013-04-09,2018-07-07,URBANO,57493208,57493210,13094360-5,2018-02-28,5045,APARTADO
13094716,TURBO,TURBO,402-15,402-15,CLOSED,R828,PRIMARIA,13.2,TSR,8.08885,-76.72462,2013-04-09,2020-06-09,URBANO,57493379,57493381,13094716-5,2018-04-13,5837,TURBO
13095101,APARTADÓ,APARTADO,401-15,401-15,CLOSED,R811,PRIMARIA,13.2,RTS,7.888380000000001,-76.63839,2013-04-10,2018-07-07,URBANO,57492332,57492333,13095101-5,2018-02-27,5045,APARTADO
13098933,ARBOLETES,ARBOLETES,409-11,409-11,CLOSED,R845,PRIMARIA,13.2,RST,8.849730000000001,-76.42291,2013-04-23,2020-06-09,URBANO,57413765,57319869,13098933-5,2018-04-09,5051,TURBO
13100252,TURBO,S.PEDRO URABA,407-13,407-13,CLOSED,R857,PRIMARIA,13.2,SRT,8.34313,-76.45469,2013-04-26,2020-06-09,RURAL,57926792,57496600,13100252-5,2018-04-11,5837,TURBO
13100259,MUTATÁ,CAUCHERAS,404-11,404-11,CLOSED,R859,PRIMARIA,13.2,TSR,7.24627,-76.43861,2013-04-26,2018-07-07,RURAL,57496004,57496448,13100259-5,2018-04-16,5480,APARTADO
13101711,SAN PEDRO DE URABÁ,S.PEDRO URABA,407-12,407-12,CLOSED,R856,PRIMARIA,13.2,SRT,8.2739,-76.37629,2013-04-30,2020-06-09,URBANO,57496490,57496491,13101711-5,2018-04-16,5665,TURBO
13104825,APARTADÓ,APARTADO,401-11,401-11,CLOSED,R860,PRIMARIA,13.2,RST,7.87524,-76.60786999999999,2013-05-08,2020-06-09,URBANO,58005152,58005153,13104825-5,2018-04-16,5045,APARTADO
13169461,TURBO,PUEBLO BELLO,410-11,410-11,CLOSED,R410,PRIMARIA,13.2,RST,8.208260000000001,-76.52202,2013-09-06,2019-12-27,RURAL,51147442,57940275,13169461-5,2018-04-10,5837,TURBO
13178722,NECOCLÍ,NECOCLI,415-13,414-11,OPEN,R978,PRIMARIA,13.2,TSR,8.54889,-76.65850999999999,2013-09-24,2018-07-07,RURAL,57544489,57544490,13178722-5,2018-04-13,5490,TURBO
13180013,NECOCLÍ,LA ATOYOSA,414-11,414-11,CLOSED,R972,PRIMARIA,13.2,TSR,8.54369,-76.59184,2013-09-26,2020-02-11,RURAL,58005097,58005098,13180013-5,2018-04-16,5490,TURBO
13182209,ARBOLETES,LA ATOYOSA,414-13,414-13,CLOSED,R973,PRIMARIA,13.2,RST,8.69479,-76.42459000000001,2013-10-01,2020-06-09,RURAL,57901548,57901550,13182209-5,2018-10-06,5051,TURBO
13222891,ARBOLETES,LA ATOYOSA,414-11,414-11,CLOSED,R481,PRIMARIA,13.2,RST,8.68595,-76.42241999999999,2013-12-23,2020-06-09,RURAL,57544389,57544390,13222891-5,2018-04-16,5051,TURBO
13432844,SAN PEDRO DE URABÁ,S.PEDRO URABA,407-12,407-12,CLOSED,R1068,PRIMARIA,7.621,R,8.38827,-76.31875,2015-01-05,2020-06-09,RURAL,58010664,58010665,13432844-5,2018-04-16,5665,TURBO
