G3E_FID,LOCALIZACI,SUBESTACIO,CIRCUITO,TIPO_RED,TENSION,CAPACIDAD_,FASES,TRANSF_CODE,NODO_TRANS,MUNICIPIO,LATITUDE,LONGITUDE,FECHA_COLO,FECHA_MODI,CLASIFICAC,NODO1_ID,NODO2_ID,NODO_TRAN1,SUBESTACI1,CIRCUITO_C,TENSION_CO,FASES_CONN,NUMERO_FAS,MUNICIPIO_CODE,SUBREGION
7001338,AEREO,S.PEDRO URABA,407-12,PRIMARIA,7.621,15.0,S,477213,477213,SAN PEDRO DE URABÃ,8.30547,-76.36065,2008-01-23,2019-06-28,RURAL,47674497,57745411,477213,S.PEDRO URABA,407-12,7.621,S,1F,5665,TURBO
7001669,AEREO,TURBO,402-13,PRIMARIA,7.621,10.0,T,418251,418251,TURBO,8.108239999999999,-76.72899,2008-01-23,2020-01-16,RURAL,57403494,57680127,418251,TURBO,402-13,7.621,T,1F,5837,TURBO
7001671,AEREO,TURBO,402-13,PRIMARIA,7.621,25.0,S,70632,418240,TURBO,8.11375,-76.72100999999999,2008-01-23,2020-01-16,RURAL,57680296,57282032,418240,TURBO,402-13,7.621,S,1F,5837,TURBO
7001672,AEREO,TURBO,402-13,PRIMARIA,7.621,25.0,T,418241,418241,TURBO,8.11543,-76.71637,2008-01-23,2020-04-01,RURAL,53148542,0,418241,TURBO,402-13,7.621,T,1F,5837,TURBO
7001675,AEREO,TURBO,402-13,PRIMARIA,7.621,37.5,R,405083,405083,TURBO,8.12003,-76.69498,2008-01-23,2019-04-01,RURAL,57719671,57719670,405083,TURBO,402-13,7.621,R,1F,5837,TURBO
7001676,AEREO,TURBO,402-13,PRIMARIA,7.621,50.0,T,418237,418237,TURBO,8.124419999999999,-76.69548,2008-01-23,2020-04-01,RURAL,53148750,57159093,418237,TURBO,402-13,7.621,T,1F,5837,TURBO
7002035,AEREO,TURBO,402-13,PRIMARIA,7.621,5.0,R,418238,418238,TURBO,8.12686,-76.69508,2008-01-23,2020-04-01,RURAL,57404173,0,418238,TURBO,402-13,7.621,R,1F,5837,TURBO
7002213,AEREO,TURBO,402-12,PRIMARIA,7.621,37.5,S,400318,400318,TURBO,8.11207,-76.73411999999999,2008-01-23,2020-01-16,RURAL,47634145,57665986,400318,TURBO,402-12,7.621,S,1F,5837,TURBO
7002214,AEREO,TURBO,402-12,PRIMARIA,7.621,5.0,S,400562,400562,TURBO,8.11717,-76.72974,2008-01-23,2020-04-01,RURAL,53148876,0,400562,TURBO,402-12,7.621,S,1F,5837,TURBO
7002215,AEREO,TURBO,402-12,PRIMARIA,7.621,25.0,R,400319,400319,TURBO,8.109110000000001,-76.73507,2008-01-23,2020-04-01,RURAL,57400915,57666065,400319,TURBO,402-12,7.621,R,1F,5837,TURBO
7002216,AEREO,TURBO,402-12,PRIMARIA,7.621,50.0,S,400253,400253,TURBO,8.10022,-76.73168000000001,2008-01-23,2020-01-16,URBANO,51145038,57666332,400253,TURBO,402-12,7.621,S,1F,5837,TURBO
7002217,AEREO,TURBO,402-12,PRIMARIA,7.621,25.0,R,106260,400254,TURBO,8.09957,-76.73305,2008-01-23,2020-04-01,URBANO,47634157,57666352,400254,TURBO,402-12,7.621,R,1F,5837,TURBO
7002452,AEREO,TURBO,402-11,PRIMARIA,13.2,75.0,TSR,400569,400569,TURBO,8.10907,-76.73433,2008-01-23,2014-06-18,RURAL,47634044,0,400569,TURBO,402-11,13.2,TSR,3F,5837,TURBO
7002453,AEREO,TURBO,402-11,PRIMARIA,7.621,37.5,S,400587,400297,TURBO,8.08425,-76.74219000000001,2008-01-23,2020-04-01,URBANO,57399517,57679293,400297,TURBO,402-11,7.621,S,1F,5837,TURBO
7002454,AEREO,TURBO,402-11,PRIMARIA,13.2,75.0,RST,400609,400609,TURBO,8.074689999999999,-76.73838,2008-01-23,2020-04-01,URBANO,53148866,0,400609,TURBO,402-11,13.2,RST,3F,5837,TURBO
7002455,AEREO,URABA,411-11,PRIMARIA,13.2,30.0,TSR,89517,400347,TURBO,7.96978,-76.64786,2008-01-23,2020-04-01,RURAL,57404137,0,400347,URABA,411-11,13.2,TSR,3F,5837,TURBO
7002665,AEREO,CHIGORODO,403-12,PRIMARIA,7.621,10.0,T,138491,475972,CHIGORODÃ,7.71672,-76.77111,2008-01-23,2020-04-01,RURAL,47634878,57688867,475972,CHIGORODO,403-12,7.621,T,1F,5172,APARTADO
7002666,AEREO,CHIGORODO,403-12,PRIMARIA,7.621,5.0,T,475973,475973,CHIGORODÃ,7.72191,-76.77113,2008-01-23,2020-04-01,RURAL,47634876,57997729,475973,CHIGORODO,403-12,7.621,T,1F,5172,APARTADO
7002668,AEREO,CHIGORODO,403-12,PRIMARIA,7.621,3.0,T,475975,475975,CHIGORODÃ,7.72473,-76.76865,2008-01-23,2019-12-09,RURAL,47634887,0,475975,CHIGORODO,403-12,7.621,T,1F,5172,APARTADO
7002670,AEREO,CHIGORODO,403-12,PRIMARIA,7.621,5.0,T,475978,475978,CHIGORODÃ,7.7263399999999995,-76.7747,2008-01-23,2020-05-08,RURAL,47634866,57976693,475978,CHIGORODO,403-12,7.621,T,1F,5172,APARTADO
7002671,AEREO,CHIGORODO,403-12,PRIMARIA,7.621,10.0,T,475979,475979,CHIGORODÃ,7.72146,-76.77702,2008-01-23,2020-04-01,RURAL,53155181,0,475979,CHIGORODO,403-12,7.621,T,1F,5172,APARTADO
