G3E_FID,DEPARTAMEN,MUNICIPIO,COMUNA,BARRIO,VEREDA,SUBESTACIO,CIRCUITO,CIRCUITO_S,EST_ESTABL,CODIGO,TIPO_RED,TENSION,FASES,USO,FID_ANTERI,COOR_X,COOR_Y,COOR_Z,COOR_GPS_L,COOR_GPS_1,FECHA_COLO,FECHA_INST,FECHA_MODI,CLASIFICAC,NODO1_ID,NODO2_ID,EST_OPERAT,TIPO_RED_C,SUBESTACI1,CIRCUITO_C,TENSION_CO,FASES_CONN,CAPACIDAD_,FECHA_ACTU,NUMERO_FAS,DEPARTAME1,MUNICIPIO_,SUBREGION
6001428,ANTIOQUIA,TURBO,,,,URABA,411-42,411-42,CLOSED,C4401,SUBTRANSMISION,44,RST,SALIDA DE CTO,6001428,715893.783,1383082.09,,8.05216,-76.65406,1/15/2008,1/15/2008,3/13/2020,RURAL,0,58013386,CLOSED,SUBTRANSMISION,URABA,411-42,44,RST,600,3/6/2018,3F,5,5837,TURBO
6001437,ANTIOQUIA,TURBO,,,,URABA,411-43,411-43,CLOSED,C4402,SUBTRANSMISION,44,RST,SALIDA DE CTO,6001437,715893.783,1383087.89,,8.05222,-76.65406,1/15/2008,1/15/2008,7/30/2014,RURAL,51140744,51140746,CLOSED,SUBTRANSMISION,URABA,411-43,44,RST,600,2/5/2018,3F,5,5837,TURBO
6001440,ANTIOQUIA,TURBO,,,,URABA,411-44,411-44,CLOSED,C4403,SUBTRANSMISION,44,TSR,SALIDA DE CTO,6001440,715893.678,1383088.488,,8.05222,-76.65406,1/15/2008,1/15/2008,7/30/2014,RURAL,51140749,51140751,CLOSED,SUBTRANSMISION,URABA,411-44,44,TSR,600,12/19/2017,3F,5,5837,TURBO
6001692,ANTIOQUIA,APARTADÓ,,,,APARTADO,401-41,401-41,CLOSED,C4396,SUBTRANSMISION,44,TSR,SALIDA DE CTO,6001692,720569.258,1363392.161,,7.87457,-76.61059,1/17/2008,1/17/2008,7/7/2018,URBANO,51141268,51141269,CLOSED,SUBTRANSMISION,APARTADO,401-41,44,TSR,600,4/10/2018,3F,5,5045,APARTADO
6001708,ANTIOQUIA,APARTADÓ,,,,APARTADO,401-11,401-11,CLOSED,C41180,PRIMARIA,13.2,RST,SALIDA DE CTO,6001708,720629.752,1363453.907,,7.87513,-76.61005,1/17/2008,1/17/2008,7/7/2018,URBANO,57526396,57374255,CLOSED,PRIMARIA,APARTADO,401-11,13.2,RST,600,4/16/2018,3F,5,5045,APARTADO
6001771,ANTIOQUIA,APARTADÓ,,,,APARTADO,401-42,401-42,CLOSED,C4397,SUBTRANSMISION,44,TSR,SALIDA DE CTO,6001771,720580.29,1363463.055,,7.87521,-76.6105,1/18/2008,1/18/2008,7/7/2018,URBANO,51141500,51141503,CLOSED,SUBTRANSMISION,APARTADO,401-42,44,TSR,600,4/12/2018,3F,5,5045,APARTADO
6001968,ANTIOQUIA,APARTADÓ,,,,APARTADO,401-16,401-16,CLOSED,C41174,PRIMARIA,13.2,STR,SALIDA DE CTO,6001968,720556.439,1363392.353,,7.87457,-76.61071,1/21/2008,1/21/2008,7/7/2018,URBANO,57526414,47637081,CLOSED,PRIMARIA,APARTADO,401-16,13.2,STR,600,4/10/2018,3F,5,5045,APARTADO
6001978,ANTIOQUIA,APARTADÓ,,,,APARTADO,401-13,401-13,CLOSED,C41177,PRIMARIA,13.2,RTS,SALIDA DE CTO,6001978,720580.421,1363462.863,,7.87521,-76.61049,1/21/2008,1/21/2008,7/7/2018,URBANO,57526405,51142128,CLOSED,PRIMARIA,APARTADO,401-13,13.2,RTS,600,2/28/2018,3F,5,5045,APARTADO
6002037,ANTIOQUIA,APARTADÓ,,,,APARTADO,401-14,401-14,CLOSED,C41178,PRIMARIA,13.2,RST,SALIDA DE CTO,6002037,720560.931,1363455.593,,7.87514,-76.61067,1/21/2008,1/21/2008,7/7/2018,URBANO,57527033,47633221,CLOSED,PRIMARIA,APARTADO,401-14,13.2,RST,600,1/25/2018,3F,5,5045,APARTADO
6002075,ANTIOQUIA,APARTADÓ,,,,APARTADO,401-15,401-15,CLOSED,C41179,PRIMARIA,13.2,RST,SALIDA DE CTO,6002075,720562.37,1363458.738,,7.87517,-76.61066,1/21/2008,1/21/2008,7/7/2018,URBANO,57526411,47633381,CLOSED,PRIMARIA,APARTADO,401-15,13.2,RST,600,2/27/2018,3F,5,5045,APARTADO
6002228,ANTIOQUIA,APARTADÓ,,,,APARTADO,401-17,401-17,CLOSED,C41175,PRIMARIA,13.2,RTS,SALIDA DE CTO,6002228,720550.668,1363394.029,,7.87458,-76.61076,1/22/2008,1/22/2008,7/7/2018,URBANO,57526415,51143061,CLOSED,PRIMARIA,APARTADO,401-17,13.2,RTS,600,3/6/2018,3F,5,5045,APARTADO
6002283,ANTIOQUIA,APARTADÓ,,,,APARTADO,401-18,401-18,CLOSED,C41176,PRIMARIA,13.2,STR,SALIDA DE CTO,6002283,720550.712,1363394.76,,7.87459,-76.61076,1/23/2008,9/23/2010,7/7/2018,URBANO,51143246,51143249,CLOSED,PRIMARIA,APARTADO,401-18,13.2,STR,600,4/3/2018,3F,5,5045,APARTADO
6002372,ANTIOQUIA,APARTADÓ,,,,APARTADO,401-12,401-12,CLOSED,C41182,PRIMARIA,13.2,RST,SALIDA DE CTO,6002372,720629.222,1363454.756,,7.87514,-76.61005,1/23/2008,1/23/2008,7/7/2018,URBANO,57526401,51143485,CLOSED,PRIMARIA,APARTADO,401-12,13.2,RST,600,3/8/2018,3F,5,5045,APARTADO
6002429,ANTIOQUIA,TURBO,,,,URABA,411-11,411-11,CLOSED,C442,PRIMARIA,13.2,RST,SALIDA DE CTO,6002429,715884.862,1383050.638,,8.05188,-76.65414,1/24/2008,1/24/2008,8/24/2012,RURAL,51143669,47674580,CLOSED,PRIMARIA,URABA,411-11,13.2,RST,600,4/16/2018,3F,5,5837,TURBO
6002754,ANTIOQUIA,TURBO,,,,URABA,411-12,411-12,CLOSED,C443,PRIMARIA,13.2,RST,SALIDA DE CTO,6002754,715885.385,1383050.202,,8.05188,-76.65413,1/25/2008,1/25/2008,4/4/2017,RURAL,51144474,47674590,CLOSED,PRIMARIA,URABA,411-12,13.2,RST,600,1/2/2018,3F,5,5837,TURBO
6002837,ANTIOQUIA,TURBO,,,,URABA,411-13,411-13,CLOSED,C444,PRIMARIA,13.2,RST,SALIDA DE CTO,6002837,715867.995,1383125.806,,8.05256,-76.65429,1/25/2008,1/25/2008,2/1/2012,RURAL,51144639,47674613,CLOSED,PRIMARIA,URABA,411-13,13.2,RST,600,4/16/2018,3F,5,5837,TURBO
