G3E_FID,MERCADO,DEPARTAMEN,MUNICIPIO,COMUNA,BARRIO,CORREGIMIE,LOCALIZACI,SUBESTACIO,CIRCUITO,CIRCUITO_S,EST_ESTABL,TIPO_AISLA,TIPO_RED,TENSION,FASES,CAPACIDAD_,FID_ANTERI,COOR_X,COOR_Y,COOR_Z,COOR_GPS_L,COOR_GPS_1,FECHA_COLO,FECHA_MODI,CLASIFICAC,NODO1_ID,NODO2_ID,EST_OPERAT,TIPO_RED_C,SUBESTACI1,CIRCUITO_C,TENSION_CO,FASES_CONN,UBICACION_,FECHA_ACTU,NUMERO_FAS,MUNICIPIO_,SUBREGION
4115654,REGIONAL,ANTIOQUIA,TURBO,,,,AEREO,CHIGORODO,403-16,403-16,CLOSED,NORMAL,PRIMARIA,7.621,T,25,4115654,711307.605,1319620.28,,7.47868,-76.69208,12/6/2007,10/18/2019,RURAL,51148589,51148590,CLOSED,PRIMARIA,CHIGORODO,403-16,7.621,T,4115654-5,4/16/2018,1F,5837,APARTADO
4115657,REGIONAL,ANTIOQUIA,CHIGORODÓ,,,,AEREO,CHIGORODO,403-16,403-16,CLOSED,NORMAL,PRIMARIA,7.621,R,10,4115657,718684.922,1330213.947,,7.57476,-76.62587,12/6/2007,4/24/2020,RURAL,47636661,51148627,CLOSED,PRIMARIA,CHIGORODO,403-16,7.621,R,4115657-5,4/16/2018,1F,5172,APARTADO
4115659,REGIONAL,ANTIOQUIA,CHIGORODÓ,,,,AEREO,CHIGORODO,403-16,403-16,CLOSED,NORMAL,PRIMARIA,7.621,S,10,4115659,719917.986,1328245.759,,7.55712,-76.61513,12/6/2007,4/24/2020,RURAL,57368114,57742128,CLOSED,PRIMARIA,CHIGORODO,403-16,7.621,S,4115659-5,4/16/2018,1F,5172,APARTADO
4115660,REGIONAL,ANTIOQUIA,CHIGORODÓ,,,,AEREO,CAUCHERAS,404-12,404-12,CLOSED,NORMAL,PRIMARIA,7.621,R,10,4115660,721734.197,1324264.546,,7.52118,-76.59795,12/6/2007,7/7/2018,RURAL,47639963,51148644,CLOSED,PRIMARIA,CAUCHERAS,404-12,7.621,R,4115660-5,4/16/2018,1F,5172,APARTADO
4115661,REGIONAL,ANTIOQUIA,CHIGORODÓ,,,,AEREO,CAUCHERAS,404-12,404-12,CLOSED,NORMAL,PRIMARIA,7.621,R,6,4115661,722058.432,1323960.839,,7.51845,-76.595,12/6/2007,7/7/2018,RURAL,51148646,51148647,CLOSED,PRIMARIA,CAUCHERAS,404-12,7.621,R,4115661-5,4/16/2018,1F,5172,APARTADO
4115662,REGIONAL,ANTIOQUIA,CHIGORODÓ,,,,AEREO,CAUCHERAS,404-12,404-12,CLOSED,NORMAL,PRIMARIA,7.621,S,6,4115662,722695.171,1323307.478,,7.51258,-76.5892,12/6/2007,7/7/2018,RURAL,47639981,51148648,CLOSED,PRIMARIA,CAUCHERAS,404-12,7.621,S,4115662-5,4/16/2018,1F,5172,APARTADO
4115663,REGIONAL,ANTIOQUIA,CHIGORODÓ,,,,AEREO,CAUCHERAS,404-12,404-12,CLOSED,NORMAL,PRIMARIA,7.621,S,10,4115663,723350.76,1322420.593,,7.50461,-76.58322,12/6/2007,7/7/2018,RURAL,47639999,51148654,CLOSED,PRIMARIA,CAUCHERAS,404-12,7.621,S,4115663-5,4/16/2018,1F,5172,APARTADO
4115665,REGIONAL,ANTIOQUIA,MUTATÁ,,,,AEREO,CAUCHERAS,404-12,404-12,CLOSED,NORMAL,PRIMARIA,7.621,S,10,4115665,726898.094,1318333.797,,7.46787,-76.5509,12/6/2007,4/28/2020,RURAL,47640074,51148678,CLOSED,PRIMARIA,CAUCHERAS,404-12,7.621,S,4115665-5,4/16/2018,1F,5480,APARTADO
4115667,REGIONAL,ANTIOQUIA,MUTATÁ,,,,AEREO,CAUCHERAS,404-12,404-12,OPEN,DE REPETICION,PRIMARIA,7.621,R,40,4115667,728314.78,1314114.279,,7.42982,-76.53792,12/6/2007,10/1/2019,RURAL,47640119,57976098,CLOSED,PRIMARIA,CAUCHERAS,404-12,7.621,R,4115667-5,4/16/2018,1F,5480,APARTADO
4115669,REGIONAL,ANTIOQUIA,MUTATÁ,,,,AEREO,CAUCHERAS,404-11,404-11,CLOSED,NORMAL,PRIMARIA,13.2,TSR,65,4115669,739383.243,1293462.328,,7.24379,-76.43671,12/6/2007,7/7/2018,URBANO,47637185,53140498,CLOSED,PRIMARIA,CAUCHERAS,404-11,13.2,TSR,4115669-5,4/16/2018,3F,5480,APARTADO
