G3E_FID,MUNICIPIO,COMUNA,BARRIO,VEREDA,UBICACION,SUBESTACIO,CIRCUITO,CIRCUITO_S,EST_ESTABL,CODIGO,TIPO_RED,TENSION,FASES,CAPACIDAD_,NRO_OPERAC,MODELO,VALORES_PL,CORRIENTE1,CURVAS_OPE,NRO_DISP_C,NRO_DISP_1,COMUNICACI,BIDIRECCIO,FID_ANTERI,COOR_X,COOR_Y,COOR_Z,COOR_GPS_L,COOR_GPS_1,FECHA_COLO,FECHA_MODI,JOB_COLOCA,DIRECCION,CLASIFICAC,NODO1_ID,NODO2_ID,EST_OPERAT,TIPO_RED_C,SUBESTACI1,CIRCUITO_C,TENSION_CO,FASES_CONN,UBICACION_,FECHA_ACTU,MUNICIPIO_,SUBREGION
12074342,CHIGORODÓ,,,,CHIGORODO,CHIGORODO,403-12,403-12,CLOSED,R813,PRIMARIA,13.2,SRT,630,4,EPR,"15 kV	630 A	12.5 kA
",800,"DT(0.01) - IEC EI (0.1)
",1,3,NO TIENE,NO,12074342,710960.707,1340974.198,,7.67154,-76.69638,10/18/2008,6/9/2020,WO#82_GEADE,CHIGORODO,RURAL,57499751,57499752,CLOSED,PRIMARIA,CHIGORODO,403-12,13.2,SRT,12074342-5,4/5/2018,5172,APARTADO
12223211,CHIGORODÓ,,,LA FE,CHIGORODO,CHIGORODO,403-12,403-12,CLOSED,R4476,PRIMARIA,7.621,T,400,0,W27-06,"15 kV	400 A	6 kA
",0,,,,NO TIENE,NO,12223211,710582.375,1340481.72,,7.66703,-76.69976,9/1/2009,6/9/2020,rural_GEADE,CHIGORODO,RURAL,57391577,57391582,CLOSED,PRIMARIA,CHIGORODO,403-12,7.621,T,12223211-5,4/5/2018,5172,APARTADO
12265633,TURBO,,,,TURBO,NUEVA COLONIA,406-11,406-11,CLOSED,R792,PRIMARIA,13.2,RST,630,4,EPR,"15 kV	630 A	12.5 kA
",800,"DT(0.01) - IEC EI (0.1)
",2,2,NO TIENE,NO,12265633,710987.243,1370238.398,,7.93587,-76.69778,10/27/2009,6/9/2020,WO#116_GEADE,TURBO,RURAL,57492468,57492469,CLOSED,PRIMARIA,NUEVA COLONIA,406-11,13.2,RST,12265633-5,4/16/2018,5837,TURBO
12275085,TURBO,,,,,NUEVA COLONIA,406-11,406-11,CLOSED,R1470,PRIMARIA,13.2,RST,630,4,FORM 5,"15 kV	630 A	12.5 kA
",800,"DT(0.01) - IEC EI (0.1)
",1,3,NO TIENE,NO,12275085,715006.822,1370214.812,,7.93589,-76.66137,11/11/2009,6/9/2020,WO#116_GEADE,,RURAL,57507917,57386607,CLOSED,PRIMARIA,NUEVA COLONIA,406-11,13.2,RST,12275085-5,4/16/2018,5837,TURBO
12282763,SAN JUAN DE URABÁ,,,SUBTERRANEO,SAN JUAN DE URABA SALIDA,ARBOLETES,409-12,409-12,CLOSED,R499,PRIMARIA,13.2,RST,630,4,EPR,"15 kV	630 A	12.5 kA
",300,"DT(0.01) - IEC EI (0.2)
",1,3,NO TIENE,NO,12282763,729384.623,1459989.799,,8.752,-76.53442,11/23/2009,6/9/2020,WO#116_GEADE,SAN JUAN DE URABA SALIDA,RURAL,57420369,57420371,CLOSED,PRIMARIA,ARBOLETES,409-12,13.2,RST,12282763-5,4/13/2018,5659,TURBO
12357222,CHIGORODÓ,,,,SECTOR EL TIGRE ENTRADA A BARRANQUILLITA,CHIGORODO,403-16,403-16,CLOSED,R887,PRIMARIA,13.2,RST,630,4,EPR,"15 kV	400 A	6 kA
",800,"DT(0.1) - IEC EI(0.1)
",2,2,NO TIENE,NO,12357222,718069.017,1331285.454,,7.58441,-76.6315,3/10/2010,7/7/2018,URABANORTE_GEADE,SECTOR EL TIGRE ENTRADA A BARRANQUILLITA,RURAL,57392502,57392508,CLOSED,PRIMARIA,CHIGORODO,403-16,13.2,RST,12357222-5,4/16/2018,5172,APARTADO
12402964,CAREPA,TURBO,VERANILLO,LA CADENA,RAMAL PIEDRAS BLANCAS,CAREPA,412-14,412-14,CLOSED,RA657,PRIMARIA,13.2,TSR,630,4,EPR,"15 kV	630 A	12.5 kA
",1000,"DT(0.01) - IEC EI (0.1)
",1,3,NO TIENE,NO,12402964,716813.237,1350121.786,-1,7.75339,-76.63861,5/31/2010,6/9/2020,CAD_GEADE,RAMAL PIEDRAS BLANCAS,RURAL,57949570,57960380,CLOSED,PRIMARIA,CAREPA,412-14,13.2,TSR,12402964-5,3/24/2018,5147,APARTADO
12427142,NECOCLÍ,,,,CAÑA FLECHAL,NECOCLI,415-11,415-11,CLOSED,R809,PRIMARIA,13.2,TSR,630,4,EPR,"15 kV	630 A	12.5 kA
",800,"DT(0.01) - IEC EI (0.1)
",1,3,NO TIENE,NO,12427142,701078.208,1425102.663,,8.42781,-76.78913,7/9/2010,6/9/2020,CAD2_GEADE,CAÑA FLECHAL,URBANO,57347439,57491157,CLOSED,PRIMARIA,NECOCLI,415-11,13.2,TSR,12427142-5,4/13/2018,5490,TURBO
12496286,CAREPA,,,,COMUNAL EL SILENCIO,CAREPA,412-11,412-11,CLOSED,R900,PRIMARIA,13.2,SRT,630,4,EPR,"15 kV	630 A	12.5 kA
",100,"DT(0.01) - IEC EI (0.1)
",1,3,NO TIENE,NO,12496286,714994.253,1350184.978,,7.75496,-76.66036,10/15/2010,6/9/2020,REQ1_GEADE,COMUNAL EL SILENCIO,URBANO,57501071,57501072,CLOSED,PRIMARIA,CAREPA,412-11,13.2,SRT,12496286-5,4/10/2018,5147,APARTADO
12628251,MUTATÁ,,,MUTATA,,CAUCHERAS,404-11,404-11,CLOSED,R1014,PRIMARIA,7.621,T,,0,,,,,,,,,12628251,739758.183,1292929.994,,7.23903,-76.4333,1/26/2011,6/9/2020,enero18_GEADE,,RURAL,58015690,58015691,CLOSED,PRIMARIA,CAUCHERAS,404-11,7.621,T,12628251-5,4/16/2018,5480,APARTADO
12662826,NECOCLÍ,,,,NECOCLI,NECOCLI,415-12,415-12,CLOSED,RA504,PRIMARIA,13.2,STR,630,0,EPR,,,,,,,NO,12662826,704916.276,1423121.32,,8.41316,-76.75597,3/19/2011,6/9/2020,sps_GEADE,NECOCLI,RURAL,57399256,57336781,CLOSED,PRIMARIA,NECOCLI,415-12,13.2,STR,12662826-5,4/16/2018,5490,TURBO
12702541,TURBO,,,LA DESEADA,,URABA,411-13,411-13,CLOSED,R1299,PRIMARIA,13.2,RST,,0,,,,,,,,,12702541,716734.933,1385351.713,,8.0727,-76.64654,5/25/2011,6/9/2020,URANORTE_GEADE,,RURAL,57981858,57981857,CLOSED,PRIMARIA,URABA,411-13,13.2,RST,12702541-5,4/16/2018,5837,TURBO
12819997,CHIGORODÓ,,,,,CHIGORODO,403-16,403-16,CLOSED,R1013,PRIMARIA,13.2,TR,,0,,,,,,,,,12819997,715650.798,1330004.81,,7.57271,-76.65332,2/9/2012,6/9/2020,beatrizc_GEADE,,RURAL,57408740,57395524,CLOSED,PRIMARIA,CHIGORODO,403-16,13.2,TR,12819997-5,4/16/2018,5172,APARTADO
12867607,TURBO,,,,,URABA,411-11,411-11,CLOSED,R844,PRIMARIA,13.2,TSR,630,0,EPR,,,,,,,NO,12867607,718595.745,1376992.7,,7.99731,-76.62923,5/2/2012,6/9/2020,CONTROL_GPS_GEADE,,RURAL,57500002,57500003,CLOSED,PRIMARIA,URABA,411-11,13.2,TSR,12867607-5,4/16/2018,5837,TURBO
12875501,ARBOLETES,,,,,ARBOLETES,409-11,409-11,CLOSED,RA687,PRIMARIA,7.621,R,630,0,SEL351J,,,,,,,NO,12875501,743706.44,1469765.492,,8.83679,-76.40666,5/11/2012,6/9/2020,REQ 68687_GEADE,,RURAL,57413867,57413868,CLOSED,PRIMARIA,ARBOLETES,409-11,7.621,R,12875501-5,4/9/2018,5051,TURBO
13080523,MUTATÁ,,,,,CAUCHERAS,404-12,404-12,CLOSED,R790,PRIMARIA,13.2,TSR,630,0,EPR,,,,,,,NO,13080523,733470.576,1304435.549,,7.34264,-76.49073,3/13/2013,7/7/2018,CTO400 Y 300_GEADE,,RURAL,57584980,57333393,CLOSED,PRIMARIA,CAUCHERAS,404-12,13.2,TSR,13080523-5,4/16/2018,5480,APARTADO
13087137,NECOCLÍ,,,,,NECOCLI,415-13,415-13,CLOSED,R810,PRIMARIA,13.2,RST,630,0,EPR,,,,,,,NO,13087137,713404.502,1436316.862,,8.53286,-76.67978,3/20/2013,7/7/2018,CTO400 Y 300_GEADE,,RURAL,57516732,57516733,CLOSED,PRIMARIA,NECOCLI,415-13,13.2,RST,13087137-5,4/13/2018,5490,TURBO
13093571,TURBO,,,,,CIRILO,413-11,413-11,CLOSED,R415,PRIMARIA,13.2,RST,630,0,EPR,,,,,,,NO,13093571,705973.078,1399244.905,,8.19757,-76.74493,4/8/2013,12/27/2019,CALIDAD_1_GEADE,,RURAL,53163419,57494123,CLOSED,PRIMARIA,CIRILO,413-11,13.2,RST,13093571-5,4/16/2018,5837,TURBO
13093827,TURBO,TURBO,JESUS MORA,TURBO,,TURBO,402-14,402-14,CLOSED,R827,PRIMARIA,13.2,RST,630,0,EPR,,,,,,,NO,13093827,707604.436,1388279.528,,8.09865,-76.72943,4/9/2013,7/7/2018,WO#241_GEADE,,URBANO,57277726,57277727,CLOSED,PRIMARIA,TURBO,402-14,13.2,RST,13093827-5,4/16/2018,5837,TURBO
13093993,TURBO,,,,,TURBO,402-16,402-16,CLOSED,R829,PRIMARIA,13.2,RST,630,0,EPR,,,,,,,NO,13093993,708020.303,1387596.584,,8.09249,-76.72568,4/9/2013,7/24/2017,WO#241_GEADE,,URBANO,57276983,57276985,CLOSED,PRIMARIA,TURBO,402-16,13.2,RST,13093993-5,3/8/2018,5837,TURBO
13094360,APARTADÓ,APARTADÓ,VELEZ,APARTADO,,APARTADO,401-13,401-13,CLOSED,R802,PRIMARIA,13.2,STR,630,0,EPR,,,,,,,NO,13094360,718024.321,1364999.584,,7.88893,-76.63368,4/9/2013,7/7/2018,WO#241_GEADE,,URBANO,57493208,57493210,CLOSED,PRIMARIA,APARTADO,401-13,13.2,STR,13094360-5,2/28/2018,5045,APARTADO
