G3E_FID,COMUNA,REGION,GRUPO,LOCALIZACI,SUBESTACIO,CIRCUITO,TIPO_RED,TENSION,TENSION_SE,TENSION_CR,CAPACIDAD_,FASES,NRO_TRANSF,NODO_TRANS,MUNICIPIO,BARRIO,FABRICANTE,FID_ANTERI,COOR_X,COOR_Y,COOR_Z,COOR_GPS_L,COOR_GPS_1,FECHA_COLO,FECHA_INST,FECHA_MODI,FECHA_ACTU,CLASIFICAC,NODO1_ID,NODO2_ID,NODO_TRAN1,TENSION_S1,TIPO_RED_C,SUBESTACI1,LOCALIZAC1,CIRCUITO_C,CIRCUITO_S,TENSION_CO,FASES_CONN,UBICACION_,NUMERO_FAS,MUNICIPIO_,SUBREGION
7001338,,URABA,,AEREO,S.PEDRO URABA,407-12,PRIMARIA,7.621,120/240,1,15,S,477213,477213,SAN PEDRO DE URABÁ,,SIN CARGAR,7001338,748442.573,1410921.854,,8.30547,-76.36065,1/23/2008,1/23/2008,6/28/2019,4/16/2018,RURAL,47674497,57745411,477213,120/240,PRIMARIA,S.PEDRO URABA,AEREO,407-12,410-11,7.621,S,477213,1F,5665,TURBO
7001669,,URABA,,AEREO,TURBO,402-13,PRIMARIA,7.621,240/120,1,10,T,418251,418251,TURBO,,SIEMENS,7001669,707665.735,1389343.446,,8.10824,-76.72899,1/23/2008,1/23/2008,1/16/2020,4/5/2018,RURAL,57403494,57680127,418251,240/120,PRIMARIA,TURBO,AEREO,402-13,402-13,7.621,T,418251,1F,5837,TURBO
7001671,,URABA,,AEREO,TURBO,402-13,PRIMARIA,7.621,240/120,1,25,S,70632,418240,TURBO,,RYMEL,7001671,708558.386,1389911.777,,8.11375,-76.72101,1/23/2008,7/10/2015,1/16/2020,4/5/2018,RURAL,57680296,57282032,418240,240/120,PRIMARIA,TURBO,AEREO,402-13,402-13,7.621,S,418240,1F,5837,TURBO
7001672,,URABA,,AEREO,TURBO,402-13,PRIMARIA,7.621,240/120,1,25,T,418241,418241,TURBO,,SIEMENS,7001672,709063.248,1390130.096,,8.11543,-76.71637,1/23/2008,1/23/2008,4/1/2020,4/5/2018,RURAL,53148542,0,418241,240/120,PRIMARIA,TURBO,AEREO,402-13,402-13,7.621,T,418241,1F,5837,TURBO
7001675,,URABA,,AEREO,TURBO,402-13,PRIMARIA,7.621,120/240,1,37.5,R,405083,405083,TURBO,,SIN CARGAR,7001675,711395.941,1390626.274,,8.12003,-76.69498,1/23/2008,1/23/2008,4/1/2019,4/5/2018,RURAL,57719671,57719670,405083,120/240,PRIMARIA,TURBO,AEREO,402-13,402-13,7.621,R,405083,1F,5837,TURBO
7001676,,URABA,,AEREO,TURBO,402-13,PRIMARIA,7.621,240/120,1,50,T,418237,418237,TURBO,,SIEMENS,7001676,711375.438,1391109.837,,8.12442,-76.69548,1/23/2008,1/23/2008,4/1/2020,4/5/2018,RURAL,53148750,57159093,418237,240/120,PRIMARIA,TURBO,AEREO,402-13,402-13,7.621,T,418237,1F,5837,TURBO
7002035,,URABA,,AEREO,TURBO,402-13,PRIMARIA,7.621,240/120,1,5,R,418238,418238,TURBO,,RYMEL,7002035,711417.022,1391382.513,,8.12686,-76.69508,1/23/2008,1/23/2008,4/1/2020,4/5/2018,RURAL,57404173,0,418238,240/120,PRIMARIA,TURBO,AEREO,402-13,402-13,7.621,R,418238,1F,5837,TURBO
7002213,,URABA,,AEREO,TURBO,402-12,PRIMARIA,7.621,240/120,1,37.5,S,400318,400318,TURBO,,TPL,7002213,707106.675,1389757.121,,8.11207,-76.73412,1/23/2008,1/23/2008,1/16/2020,4/3/2018,RURAL,47634145,57665986,400318,240/120,PRIMARIA,TURBO,AEREO,402-12,402-12,7.621,S,400318,1F,5837,TURBO
7002214,,URABA,,AEREO,TURBO,402-12,PRIMARIA,7.621,240/120,1,5,S,400562,400562,TURBO,,MAGNETRON,7002214,707590.156,1390331.85,,8.11717,-76.72974,1/23/2008,1/23/2008,4/1/2020,4/3/2018,RURAL,53148876,0,400562,240/120,PRIMARIA,TURBO,AEREO,402-12,402-12,7.621,S,400562,1F,5837,TURBO
7002215,,URABA,,AEREO,TURBO,402-12,PRIMARIA,7.621,240/120,1,25,R,400319,400319,TURBO,,SIEMENS,7002215,706996.418,1389443.976,,8.10911,-76.73507,1/23/2008,1/23/2008,4/1/2020,4/3/2018,RURAL,57400915,57666065,400319,240/120,PRIMARIA,TURBO,AEREO,402-12,402-12,7.621,R,400319,1F,5837,TURBO
