,Circuit,Nombre_municipio,day,Month,District,ServiceType,NumberOT
0,217-11,EL CARMEN DE VIBORAL,21,9,Turbo TyD,Daños Energía,1
1,303-14,TURBO,17,4,Turbo TyD,Daños Energía,1
2,401-11,ANZÁ,1,8,Apartado TyD,Daños Energía,1
3,401-11,ANZÁ,8,3,Apartado TyD,Mantenimiento Energía,1
4,401-11,ANZÁ,13,5,Apartado TyD,Daños Energía,1
5,401-11,APARTADÓ,1,2,Apartado TyD,Daños Energía,4
6,401-11,APARTADÓ,1,2,Apartado TyD,Mantenimiento Energía,3
7,401-11,APARTADÓ,1,4,Apartado TyD,Daños Energía,2
8,401-11,APARTADÓ,1,5,Apartado TyD,Daños Energía,5
9,401-11,APARTADÓ,1,6,Apartado TyD,Daños Energía,1
10,401-11,APARTADÓ,1,7,Apartado TyD,Daños Energía,1
11,401-11,APARTADÓ,1,8,Apartado TyD,Daños Energía,1
12,401-11,APARTADÓ,1,8,Apartado TyD,Mantenimiento Energía,10
13,401-11,APARTADÓ,1,9,Apartado TyD,Daños Energía,6
14,401-11,APARTADÓ,1,10,Apartado TyD,Daños Energía,6
15,401-11,APARTADÓ,1,10,Apartado TyD,Mantenimiento Energía,2
16,401-11,APARTADÓ,2,1,Apartado TyD,Daños Energía,4
17,401-11,APARTADÓ,2,2,Apartado TyD,Daños Energía,1
18,401-11,APARTADÓ,2,4,Apartado TyD,Daños Energía,8
19,401-11,APARTADÓ,2,4,Apartado TyD,Mantenimiento Energía,4
20,401-11,APARTADÓ,2,5,Apartado TyD,Daños Energía,6
21,401-11,APARTADÓ,2,5,Apartado TyD,Mantenimiento Energía,1
22,401-11,APARTADÓ,2,6,Apartado TyD,Daños Energía,2
23,401-11,APARTADÓ,2,6,Apartado TyD,Mantenimiento Energía,2
24,401-11,APARTADÓ,2,7,Apartado TyD,Daños Energía,6
25,401-11,APARTADÓ,2,7,Apartado TyD,Mantenimiento Energía,1
26,401-11,APARTADÓ,2,8,Apartado TyD,Daños Energía,2
27,401-11,APARTADÓ,2,8,Apartado TyD,Mantenimiento Energía,2
28,401-11,APARTADÓ,2,9,Apartado TyD,Daños Energía,9
29,401-11,APARTADÓ,2,10,Apartado TyD,Daños Energía,2
30,401-11,APARTADÓ,2,10,Apartado TyD,Mantenimiento Energía,1
31,401-11,APARTADÓ,2,11,Apartado TyD,Daños Energía,5
32,401-11,APARTADÓ,2,12,Apartado TyD,Daños Energía,3
33,401-11,APARTADÓ,2,12,Apartado TyD,Mantenimiento Energía,1
34,401-11,APARTADÓ,3,1,Apartado TyD,Daños Energía,3
35,401-11,APARTADÓ,3,3,Apartado TyD,Daños Energía,2
36,401-11,APARTADÓ,3,4,Apartado TyD,Daños Energía,2
37,401-11,APARTADÓ,3,4,Apartado TyD,Mantenimiento Energía,4
38,401-11,APARTADÓ,3,5,Apartado TyD,Daños Energía,2
39,401-11,APARTADÓ,3,6,Apartado TyD,Daños Energía,4
40,401-11,APARTADÓ,3,6,Apartado TyD,Mantenimiento Energía,3
41,401-11,APARTADÓ,3,7,Apartado TyD,Daños Energía,5
42,401-11,APARTADÓ,3,7,Apartado TyD,Mantenimiento Energía,11
43,401-11,APARTADÓ,3,8,Apartado TyD,Daños Energía,1
44,401-11,APARTADÓ,3,9,Apartado TyD,Daños Energía,7
45,401-11,APARTADÓ,3,10,Apartado TyD,Daños Energía,5
46,401-11,APARTADÓ,3,10,Apartado TyD,Mantenimiento Energía,2
47,401-11,APARTADÓ,3,11,Apartado TyD,Daños Energía,1
48,401-11,APARTADÓ,3,11,Apartado TyD,Mantenimiento Energía,1
49,401-11,APARTADÓ,3,12,Apartado TyD,Daños Energía,6
50,401-11,APARTADÓ,3,12,Apartado TyD,Mantenimiento Energía,1
