"","X","Nombre_municipio","Month","District","ServiceType","day","weekday","Date","NumberOT","BC_NumberOT","predicted","predict_round","prob1","prob2","prob3","prob4","prob_may_3","resid","dif_pred","residuals"
"1",0,"ANORÍ",5,"Apartado TyD","Mantenimiento Energía",12,6,"2019-05-12",1,0,2.40193376769845,2,0.29172277074156,0.21535183177693,0.15337269555722,0.107236702253629,0.33955270192429,2.40193376769845,-1,-2.48883432924758
"2",1,"ANORÍ",10,"Apartado TyD","Daños Energía",12,5,"2019-10-12",1,0,3.99301875475429,4,0.190810214050036,0.162918133416176,0.134201840627992,0.108528409521471,0.512069811905796,3.99301875475429,-3,-2.07201580688637
"3",2,"ANZÁ",3,"Apartado TyD","Mantenimiento Energía",8,4,"2019-03-08",1,0,2.99174912439078,3,0.244831838030775,0.193714699634641,0.147869465087765,0.110812906360313,0.413583997246819,2.99174912439078,-2,-2.29222936302005
"4",3,"ANZÁ",5,"Apartado TyD","Daños Energía",13,0,"2019-05-13",1,0,9.63788237450681,10,0.0799585677930998,0.0792439380580646,0.0757684377944474,0.0711224216493153,0.765029056354388,9.63788237450681,-9,-1.60155939960795
"5",4,"ANZÁ",8,"Apartado TyD","Daños Energía",1,3,"2019-08-01",1,0,7.15555165294563,7,0.108978693649452,0.103906264532737,0.0955791373149467,0.0863138323801401,0.691535904502864,7.15555165294563,-6,-1.73252581737228
"6",5,"ANZÁ",10,"Apartado TyD","Daños Energía",12,5,"2019-10-12",2,0.726657163878996,3.99301875475424,4,0.190810214050039,0.162918133416177,0.134201840627993,0.108528409521471,0.512069811905792,3.99301875475424,-2,-0.649029137357124
"7",6,"ANZÁ",12,"Apartado TyD","Daños Energía",23,0,"2019-12-23",1,0,6.17835036514975,6,0.126271193441812,0.117652252585982,0.105759027329201,0.0933319991866865,0.650317526643005,6.17835036514975,-5,-1.80666265637838
"8",7,"APARTADÓ",1,"Apartado TyD","Daños Energía",2,2,"2019-01-02",13,3.06576043505341,5.46333914686902,5,0.142412104961268,0.129857522720249,0.11423746607439,0.0986610943775633,0.613492906244094,5.46333914686902,8,1.66779867885576
"9",8,"APARTADÓ",1,"Apartado TyD","Daños Energía",3,3,"2019-01-03",12,2.95315812953311,5.49465289206492,5,0.14162748430878,0.129278034909982,0.113847417302697,0.0984277467228831,0.615247063478541,5.49465289206492,7,1.5716545477369
"10",9,"APARTADÓ",1,"Apartado TyD","Daños Energía",4,4,"2019-01-04",4,1.52468874233406,4.9803099697454,5,0.155599928749167,0.139387902874325,0.12046531322105,0.102210347221222,0.584546855155458,4.9803099697454,-1,0.236499653114261
"11",10,"APARTADÓ",1,"Apartado TyD","Daños Energía",5,5,"2019-01-05",14,3.1711056393748,3.72034677021671,4,0.203210120707437,0.170550063135352,0.138095547122785,0.109774984613508,0.488144269034426,3.72034677021671,10,1.31463083349478
"12",11,"APARTADÓ",1,"Apartado TyD","Daños Energía",6,6,"2019-01-06",8,2.40110534134184,3.2941645951484,3,0.225815408866422,0.183597335413891,0.144012574487558,0.110899700682757,0.446574681232129,3.2941645951484,5,1.95929278020142
"13",12,"APARTADÓ",1,"Apartado TyD","Daños Energía",7,0,"2019-01-07",5,1.79792073452873,6.35337727665084,6,0.122818881934816,0.114963696818498,0.103819167410961,0.0920428975622699,0.658398253835724,6.35337727665084,-1,0.106862018157123
"14",13,"APARTADÓ",1,"Apartado TyD","Daños Energía",8,1,"2019-01-08",12,2.95315812953311,5.86309818524813,6,0.13295507015561,0.122779079103704,0.109386840787374,0.0956757129011867,0.634879009953312,5.86309818524813,6,1.45696233167739
