"","X","Nombre_municipio","Month","District","ServiceType","day","weekday","Date","NumberOT","BC_NumberOT","predicted","predict_round","prob1","prob2","prob3","prob4","prob_may_3","dif_pred","residuals"
"1",0,"ANORI",5,"Apartado TyD","Mantenimiento Energia",12,6,"2019-05-12",1,0,2.34860613938394,2,0.296614232775683,0.217955496389444,0.154123195404696,0.106852313282158,0.331307075430177,-1,-2.48883432924758
"2",1,"ANORI",10,"Apartado TyD","Danos Energia",12,5,"2019-10-12",1,0,3.94111719621859,4,0.192380146409755,0.164511653060336,0.135380907719084,0.10922798505112,0.507727292810826,-3,-2.07201580688637
"3",2,"ANZA",3,"Apartado TyD","Mantenimiento Energia",8,4,"2019-03-08",1,0,2.91111028303128,3,0.25000256091979,0.196957377061568,0.149322202306404,0.11099215056692,0.403717859712239,-2,-2.29222936302005
"4",3,"ANZA",5,"Apartado TyD","Danos Energia",13,0,"2019-05-13",1,0,9.71644732846598,10,0.078301770293378,0.0781812969159736,0.0751205052028388,0.0707668516470892,0.76839642758781,-9,-1.60155939960795
"5",4,"ANZA",8,"Apartado TyD","Danos Energia",1,3,"2019-08-01",1,0,7.14519875446041,7,0.108178020476358,0.103741799509926,0.0957398767140543,0.0866258872711256,0.692340303299662,-6,-1.73252581737228
"6",5,"ANZA",10,"Apartado TyD","Danos Energia",12,5,"2019-10-12",2,0.726657163878996,3.94111719621842,4,0.192380146409762,0.16451165306034,0.135380907719086,0.109227985051121,0.507727292810812,-2,-0.649029137357124
"7",6,"ANZA",12,"Apartado TyD","Danos Energia",23,0,"2019-12-23",1,0,6.20669330444814,6,0.124771586183298,0.117011839863732,0.105601055749401,0.0934377683312579,0.652615518203569,-5,-1.80666265637838
"8",7,"APARTADO",1,"Apartado TyD","Danos Energia",2,2,"2019-01-02",13,3.06576043505341,5.44106379069987,5,0.142095084784228,0.130177451655844,0.114766943522724,0.0992004428370378,0.612960520037205,8,1.66779867885576
"9",8,"APARTADO",1,"Apartado TyD","Danos Energia",3,3,"2019-01-03",12,2.95315812953311,5.43300689964101,5,0.142300364862054,0.130329295391607,0.114868889091982,0.099260975692873,0.612501450654357,7,1.5716545477369
"10",9,"APARTADO",1,"Apartado TyD","Danos Energia",4,4,"2019-01-04",4,1.52468874233406,4.91741333734441,5,0.1566517551616,0.140705311158039,0.121621416334333,0.103068360435324,0.581021517346028,-1,0.236499653114261
"11",10,"APARTADO",1,"Apartado TyD","Danos Energia",5,5,"2019-01-05",14,3.1711056393748,3.69454513462617,4,0.20383012722302,0.171538201176335,0.138924124192809,0.110308817431284,0.485707547407836,10,1.31463083349478
"12",11,"APARTADO",1,"Apartado TyD","Danos Energia",6,6,"2019-01-06",8,2.40110534134184,3.21971516746057,3,0.229736735562173,0.186372163375069,0.145497652793874,0.111364474773221,0.438393448268885,5,1.95929278020142
"13",12,"APARTADO",1,"Apartado TyD","Danos Energia",7,0,"2019-01-07",5,1.79792073452873,6.32823207241549,6,0.122369956425448,0.115131430431338,0.104240703969323,0.0925329730072316,0.658257909173891,-1,0.106862018157123
"14",13,"APARTADO",1,"Apartado TyD","Danos Energia",8,1,"2019-01-08",12,2.95315812953311,5.8364165082352,6,0.132642180034783,0.123079784615709,0.109904669362222,0.0962191034010512,0.634373365987286,6,1.45696233167739
"15",14,"APARTADO",1,"Apartado TyD","Danos Energia",9,2,"2019-01-09",8,2.40110534134184,5.44106379069977,5,0.14209508478423,0.130177451655846,0.114766943522725,0.0992004428370385,0.612960520037199,3,1.07265567456499
"16",15,"APARTADO",1,"Apartado TyD","Danos Energia",10,3,"2019-01-10",12,2.95315812953311,5.43300689964086,5,0.142300364862058,0.130329295391609,0.114868889091984,0.0992609756928742,0.612501450654349,7,1.57165454773703
"17",16,"APARTADO",1,"Apartado TyD","Danos Energia",11,4,"2019-01-11",9,2.55836453716574,4.91741333734417,5,0.156651755161607,0.140705311158044,0.121621416334337,0.103068360435326,0.581021517346013,4,1.42677427157402
"18",17,"APARTADO",1,"Apartado TyD","Danos Energia",12,5,"2019-01-12",13,3.06576043505341,3.6945451346263,4,0.203830127223013,0.171538201176331,0.138924124192807,0.110308817431284,0.485707547407849,9,1.48598923496582
"19",18,"APARTADO",1,"Apartado TyD","Danos Energia",13,6,"2019-01-13",3,1.1843768303398,3.21971516746057,3,0.229736735562173,0.186372163375069,0.145497652793874,0.111364474773221,0.438393448268885,0,0.810469188677952
"20",19,"APARTADO",1,"Apartado TyD","Danos Energia",14,0,"2019-01-14",11,2.83212658776034,6.32823207241549,6,0.122369956425447,0.115131430431338,0.104240703969323,0.0925329730072316,0.658257909173892,5,1.18757163420273
"21",20,"APARTADO",1,"Apartado TyD","Danos Energia",15,1,"2019-01-15",5,1.79792073452873,5.8364165082352,6,0.132642180034783,0.123079784615709,0.109904669362222,0.0962191034010512,0.634373365987286,-1,0.251274532618106
"22",21,"APARTADO",1,"Apartado TyD","Danos Energia",16,2,"2019-01-16",9,2.55836453716574,5.44106379069977,5,0.14209508478423,0.130177451655846,0.114766943522725,0.0992004428370385,0.612960520037199,4,1.23051656674664
"23",22,"APARTADO",1,"Apartado TyD","Danos Energia",17,3,"2019-01-17",7,2.22582168977683,5.43300689964086,5,0.142300364862058,0.130329295391609,0.114868889091984,0.0992609756928742,0.612501450654349,2,0.873359083629515
"24",23,"APARTADO",1,"Apartado TyD","Danos Energia",18,4,"2019-01-18",9,2.55836453716574,4.91741333734417,5,0.156651755161607,0.140705311158044,0.121621416334337,0.103068360435326,0.581021517346013,4,1.42677427157402
"25",24,"APARTADO",1,"Apartado TyD","Danos Energia",19,5,"2019-01-19",5,1.79792073452873,3.6945451346263,4,0.203830127223013,0.171538201176331,0.138924124192807,0.110308817431284,0.485707547407849,1,1.40744195332033
"26",25,"APARTADO",1,"Apartado TyD","Danos Energia",20,6,"2019-01-20",3,1.1843768303398,3.21971516746057,3,0.229736735562173,0.186372163375069,0.145497652793874,0.111364474773221,0.438393448268885,0,0.810469188677952
"27",26,"APARTADO",1,"Apartado TyD","Danos Energia",21,0,"2019-01-21",12,2.95315812953311,6.32823207241548,6,0.122369956425448,0.115131430431338,0.104240703969323,0.0925329730072316,0.658257909173891,6,1.30527312800208
"28",27,"APARTADO",1,"Apartado TyD","Danos Energia",22,1,"2019-01-22",4,1.52468874233406,5.8364165082352,6,0.132642180034783,0.123079784615709,0.109904669362222,0.0962191034010512,0.634373365987286,-2,-0.0690575294845184
"29",28,"APARTADO",1,"Apartado TyD","Danos Energia",23,2,"2019-01-23",11,2.83212658776034,5.44106379069976,5,0.14209508478423,0.130177451655846,0.114766943522725,0.0992004428370385,0.612960520037199,6,1.48120317302555
"30",29,"APARTADO",1,"Apartado TyD","Danos Energia",24,3,"2019-01-24",12,2.95315812953311,5.43300689964086,5,0.142300364862058,0.130329295391609,0.114868889091984,0.0992609756928742,0.612501450654349,7,1.57165454773703
"31",30,"APARTADO",1,"Apartado TyD","Danos Energia",25,4,"2019-01-25",5,1.79792073452873,4.91741333734417,5,0.156651755161607,0.140705311158044,0.121621416334337,0.103068360435326,0.581021517346013,0,0.596520640117716
"32",31,"APARTADO",1,"Apartado TyD","Danos Energia",26,5,"2019-01-26",6,2.027366987417,3.6945451346263,4,0.203830127223013,0.171538201176331,0.138924124192807,0.110308817431284,0.485707547407848,2,1.65705844730213
"33",32,"APARTADO",1,"Apartado TyD","Danos Energia",27,6,"2019-01-27",4,1.52468874233406,3.21971516746057,3,0.229736735562173,0.186372163375069,0.145497652793874,0.111364474773221,0.438393448268885,1,1.44989488077182
"34",33,"APARTADO",1,"Apartado TyD","Danos Energia",28,0,"2019-01-28",12,2.95315812953311,6.32823207241548,6,0.122369956425448,0.115131430431338,0.104240703969323,0.0925329730072316,0.658257909173891,6,1.30527312800208
"35",34,"APARTADO",1,"Apartado TyD","Danos Energia",29,1,"2019-01-29",15,3.27013275177334,5.8364165082352,6,0.132642180034783,0.123079784615709,0.109904669362222,0.0962191034010512,0.634373365987286,9,1.72423056089247
"36",35,"APARTADO",1,"Apartado TyD","Danos Energia",30,2,"2019-01-30",12,2.95315812953311,5.44106379069976,5,0.14209508478423,0.130177451655846,0.114766943522725,0.0992004428370385,0.612960520037199,7,1.58122731210403
"37",36,"APARTADO",1,"Apartado TyD","Danos Energia",31,3,"2019-01-31",12,2.95315812953311,5.43300689964086,5,0.142300364862058,0.130329295391609,0.114868889091984,0.0992609756928742,0.612501450654349,7,1.57165454773703
"38",37,"APARTADO",1,"Apartado TyD","Mantenimiento Energia",2,2,"2019-01-02",1,0,2.64704105633449,3,0.270091030885682,0.206576175782721,0.152045875679441,0.109719747676537,0.371286917652156,-2,-2.38448279242632
"39",38,"APARTADO",1,"Apartado TyD","Mantenimiento Energia",4,4,"2019-01-04",2,0.726657163878996,2.45322161688556,2,0.28679581411955,0.213917460631037,0.1535479422512,0.108058146026545,0.345738782998212,-1,0.703571129553313
"40",39,"APARTADO",1,"Apartado TyD","Mantenimiento Energia",5,5,"2019-01-05",1,0,2.00105601590678,2,0.334104189929356,0.23150196968552,0.154366052676897,0.100917074552715,0.280027787708227,-1,-2.65883115413974
"41",40,"APARTADO",1,"Apartado TyD","Mantenimiento Energia",7,0,"2019-01-07",8,2.40110534134184,2.97573700064967,3,0.245495301941659,0.194679983187299,0.14856747924352,0.11115831490442,0.411257235627522,5,1.86952936485838
"42",41,"APARTADO",1,"Apartado TyD","Mantenimiento Energia",8,1,"2019-01-08",5,1.79792073452873,2.79346732006833,3,0.258604705351415,0.201182337184895,0.150614788272956,0.110550605917652,0.389598169190734,2,2.31417489817863
"43",42,"APARTADO",1,"Apartado TyD","Mantenimiento Energia",10,3,"2019-01-10",4,1.52468874233406,2.6440578918073,3,0.270334670279538,0.206687526429891,0.15207265500684,0.109699269079292,0.37090514828373,1,2.31353590030136
"44",43,"APARTADO",1,"Apartado TyD","Mantenimiento Energia",11,4,"2019-01-11",3,1.1843768303398,2.45322161688556,2,0.28679581411955,0.213917460631037,0.1535479422512,0.108058146026545,0.345738782998212,0,2.1412952178591
"45",44,"APARTADO",1,"Apartado TyD","Mantenimiento Energia",12,5,"2019-01-12",1,0,2.00105601590678,2,0.334104189929356,0.23150196968552,0.154366052676897,0.100917074552715,0.280027787708227,-1,-2.65883115413974
"46",45,"APARTADO",1,"Apartado TyD","Mantenimiento Energia",13,6,"2019-01-13",1,0,1.82556833504717,2,0.35648306559248,0.238184213249024,0.153148018675094,0.0965440552546931,0.252184702483402,-1,-2.7492026334478
"47",46,"APARTADO",1,"Apartado TyD","Mantenimiento Energia",14,0,"2019-01-14",1,0,2.97573700064967,3,0.245495301941659,0.194679983187299,0.14856747924352,0.11115831490442,0.411257235627522,-2,-2.28307693152645
"48",47,"APARTADO",1,"Apartado TyD","Mantenimiento Energia",16,2,"2019-01-16",7,2.22582168977683,2.64704105633449,3,0.270091030885681,0.206576175782721,0.152045875679441,0.109719747676537,0.371286917652157,4,1.91673738085314
"49",48,"APARTADO",1,"Apartado TyD","Mantenimiento Energia",17,3,"2019-01-17",3,1.1843768303398,2.6440578918073,3,0.270334670279538,0.206687526429892,0.15207265500684,0.109699269079292,0.37090514828373,0,1.70500918455417
"50",49,"APARTADO",1,"Apartado TyD","Mantenimiento Energia",18,4,"2019-01-18",4,1.52468874233406,2.45322161688556,2,0.28679581411955,0.213917460631037,0.1535479422512,0.108058146026545,0.345738782998212,1,2.67399253325923
"51",50,"APARTADO",1,"Apartado TyD","Mantenimiento Energia",20,6,"2019-01-20",1,0,1.82556833504717,2,0.35648306559248,0.238184213249024,0.153148018675094,0.0965440552546931,0.252184702483402,-1,-2.7492026334478
"52",51,"APARTADO",1,"Apartado TyD","Mantenimiento Energia",21,0,"2019-01-21",5,1.79792073452873,2.97573700064967,3,0.245495301941659,0.194679983187299,0.14856747924352,0.11115831490442,0.411257235627522,2,2.10482392150588
"53",52,"APARTADO",1,"Apartado TyD","Mantenimiento Energia",22,1,"2019-01-22",3,1.1843768303398,2.79346732006833,3,0.258604705351415,0.201182337184895,0.150614788272956,0.110550605917652,0.389598169190734,0,1.4449917440146
"54",53,"APARTADO",1,"Apartado TyD","Mantenimiento Energia",23,2,"2019-01-23",2,0.726657163878996,2.64704105633449,3,0.270091030885682,0.206576175782721,0.152045875679441,0.109719747676537,0.371286917652156,-1,0.378148010256445
"55",54,"APARTADO",1,"Apartado TyD","Mantenimiento Energia",24,3,"2019-01-24",2,0.726657163878996,2.6440578918073,3,0.270334670279538,0.206687526429892,0.15207265500684,0.109699269079292,0.37090514828373,-1,0.359898370377177
"56",55,"APARTADO",1,"Apartado TyD","Mantenimiento Energia",25,4,"2019-01-25",10,2.70117498746157,2.45322161688555,2,0.286795814119551,0.213917460631037,0.1535479422512,0.108058146026545,0.345738782998212,7,-1.56735195094822
"57",56,"APARTADO",1,"Apartado TyD","Mantenimiento Energia",26,5,"2019-01-26",1,0,2.00105601590678,2,0.334104189929356,0.23150196968552,0.154366052676897,0.100917074552715,0.280027787708227,-1,-2.65883115413974
"58",57,"APARTADO",1,"Apartado TyD","Mantenimiento Energia",27,6,"2019-01-27",4,1.52468874233406,1.82556833504717,2,0.35648306559248,0.238184213249024,0.153148018675094,0.0965440552546931,0.252184702483402,2,3.58442235974492
"59",58,"APARTADO",1,"Apartado TyD","Mantenimiento Energia",28,0,"2019-01-28",4,1.52468874233406,2.97573700064967,3,0.245495301941659,0.194679983187299,0.14856747924352,0.11115831490442,0.411257235627522,1,1.79861982187949
"60",59,"APARTADO",1,"Apartado TyD","Mantenimiento Energia",29,1,"2019-01-29",5,1.79792073452873,2.79346732006833,3,0.258604705351415,0.201182337184895,0.150614788272956,0.110550605917652,0.389598169190734,2,2.31417489817863
"61",60,"APARTADO",1,"Apartado TyD","Mantenimiento Energia",31,3,"2019-01-31",3,1.1843768303398,2.6440578918073,3,0.270334670279538,0.206687526429892,0.15207265500684,0.109699269079292,0.37090514828373,0,1.70500918455417
"62",61,"APARTADO",1,"Turbo TyD","Danos Energia",3,3,"2019-01-03",1,0,6.7267592345402,7,0.115051588256544,0.109317674481271,0.0999568336257663,0.0896087339725956,0.675673903636419,-6,-1.76117188589475
"63",62,"APARTADO",1,"Turbo TyD","Danos Energia",5,5,"2019-01-05",1,0,4.48155498151166,4,0.170978344639522,0.150595916576212,0.127646709542702,0.106077138851798,0.550779029241564,-3,-1.99480039012856
"64",63,"APARTADO",1,"Turbo TyD","Danos Energia",8,1,"2019-01-08",1,0,7.24739972131614,7,0.106611021809318,0.102454887339211,0.0947518273451798,0.0859128752330492,0.696182263506291,-6,-1.72811740588925
"65",64,"APARTADO",1,"Turbo TyD","Danos Energia",11,4,"2019-01-11",1,0,6.06115054088407,6,0.127761941981887,0.119334324963241,0.107263903388175,0.0945273664612174,0.645639829666697,-5,-1.8140819116918
"66",65,"APARTADO",1,"Turbo TyD","Danos Energia",14,0,"2019-01-14",1,0,7.88198052501276,8,0.09773343096608,0.0950528214386289,0.0889633687559862,0.0816343938573031,0.718250378839305,-7,-1.68926615089177
"67",66,"APARTADO",1,"Turbo TyD","Danos Energia",15,1,"2019-01-15",2,0.726657163878996,7.24739972131614,7,0.106611021809318,0.102454887339211,0.0947518273451798,0.0859128752330492,0.696182263506291,-5,-1.11579538367277
"68",67,"APARTADO",1,"Turbo TyD","Danos Energia",17,3,"2019-01-17",1,0,6.7267592345402,7,0.115051588256544,0.109317674481271,0.0999568336257663,0.0896087339725956,0.675673903636419,-6,-1.76117188589475
"69",68,"APARTADO",1,"Turbo TyD","Danos Energia",26,5,"2019-01-26",1,0,4.48155498151166,4,0.170978344639522,0.150595916576212,0.127646709542702,0.106077138851798,0.550779029241564,-3,-1.99480039012856
"70",69,"APARTADO",1,"Turbo TyD","Danos Energia",28,0,"2019-01-28",1,0,7.88198052501276,8,0.09773343096608,0.0950528214386289,0.0889633687559862,0.0816343938573031,0.718250378839305,-7,-1.68926615089177
"71",70,"APARTADO",1,"Turbo TyD","Danos Energia",29,1,"2019-01-29",1,0,7.24739972131614,7,0.106611021809318,0.102454887339211,0.0947518273451798,0.0859128752330492,0.696182263506291,-6,-1.72811740588925
"72",71,"APARTADO",1,"Turbo TyD","Danos Energia",30,2,"2019-01-30",1,0,6.73715865423026,7,0.114871242158969,0.109172809784192,0.0998486042671068,0.0895334365302253,0.676107343789732,-6,-1.76412631132728
"73",72,"APARTADO",1,"Turbo TyD","Mantenimiento Energia",3,3,"2019-01-03",1,0,3.12352880679703,3,0.235724047325519,0.189592057073162,0.1467441267442,0.111356882157057,0.427939768857119,-2,-2.24365441436937
"74",73,"APARTADO",1,"Turbo TyD","Mantenimiento Energia",25,4,"2019-01-25",1,0,2.87673890842963,3,0.252461457623123,0.198181323588907,0.14971134216664,0.110882351683536,0.39964587662133,-2,-2.31089322573826
"75",74,"APARTADO",2,"Apartado TyD","Danos Energia",1,4,"2019-02-01",12,2.95315812953311,5.02249807408846,5,0.153519080035112,0.138480569181683,0.120209740764393,0.102307206501735,0.587790610018812,7,1.68334967994545
"76",75,"APARTADO",2,"Apartado TyD","Danos Energia",2,5,"2019-02-02",5,1.79792073452873,3.76682555076386,4,0.200347934801021,0.169431948772465,0.137889146050848,0.110022270504763,0.492330970375666,1,1.330385367298
"77",76,"APARTADO",2,"Apartado TyD","Danos Energia",3,6,"2019-02-03",4,1.52468874233406,3.27923023419626,3,0.226168775481663,0.184416294281764,0.144707244948821,0.111326102436566,0.444707685287751,1,1.36146026802519
"78",77,"APARTADO",2,"Apartado TyD","Danos Energia",4,0,"2019-02-04",12,2.95315812953311,6.47104226384008,6,0.119652913117291,0.112987728721914,0.102674742064166,0.0914769566504132,0.664684616096629,5,1.25119862818919
"79",78,"APARTADO",2,"Apartado TyD","Danos Energia",5,1,"2019-02-05",8,2.40110534134184,5.9660888599887,6,0.129785970909083,0.120894450235107,0.108370061280074,0.0952418929269193,0.640949517575735,2,0.860359570358902
