"","Nombre_municipio","promedio"
"1","ANORI",3
"2","ANZA",6
"3","APARTADO",5
"4","ARBOLETES",6
"5","BELLO",4
"6","CAICEDO",3
"7","CARAMANTA",3
"8","CAREPA",5
"9","CAROLINA",4
"10","CAUCASIA",5
"11","CANASGORDAS",3
"12","CHIGORODO",5
"13","CISNEROS",6
"14","CIUDAD BOLIVAR",4
"15","EL CARMEN DE VIBORAL",5
"16","MEDELLIN",5
"17","MURINDO",6
"18","MUTATA",5
"19","NARINO",6
"20","NECHI",6
"21","NECOCLI",6
"22","OLAYA",7
"23","SAN JERONIMO",5
"24","SAN JOSE DE LA MONTANA",7
"25","SAN JUAN DE URABA",7
"26","SAN LUIS",9
"27","SAN PEDRO DE LOS MILAGROS",8
"28","SAN PEDRO DE URABA",6
"29","SAN VICENTE FERRER",3
"30","SEGOVIA",5
"31","TURBO",6
