,Nombre_municipio,Month,District,ServiceType,day,weekday,Date,NumberOT
0,ANORÍ,5,Apartado TyD,Mantenimiento Energía,12,6,2019-05-12,1
1,ANORÍ,10,Apartado TyD,Daños Energía,12,5,2019-10-12,1
2,ANZÁ,3,Apartado TyD,Mantenimiento Energía,8,4,2019-03-08,1
3,ANZÁ,5,Apartado TyD,Daños Energía,13,0,2019-05-13,1
4,ANZÁ,8,Apartado TyD,Daños Energía,1,3,2019-08-01,1
5,ANZÁ,10,Apartado TyD,Daños Energía,12,5,2019-10-12,2
6,ANZÁ,12,Apartado TyD,Daños Energía,23,0,2019-12-23,1
7,APARTADÓ,1,Apartado TyD,Daños Energía,2,2,2019-01-02,13
8,APARTADÓ,1,Apartado TyD,Daños Energía,3,3,2019-01-03,12
9,APARTADÓ,1,Apartado TyD,Daños Energía,4,4,2019-01-04,4
10,APARTADÓ,1,Apartado TyD,Daños Energía,5,5,2019-01-05,14
11,APARTADÓ,1,Apartado TyD,Daños Energía,6,6,2019-01-06,8
12,APARTADÓ,1,Apartado TyD,Daños Energía,7,0,2019-01-07,5
13,APARTADÓ,1,Apartado TyD,Daños Energía,8,1,2019-01-08,12
14,APARTADÓ,1,Apartado TyD,Daños Energía,9,2,2019-01-09,8
15,APARTADÓ,1,Apartado TyD,Daños Energía,10,3,2019-01-10,12
16,APARTADÓ,1,Apartado TyD,Daños Energía,11,4,2019-01-11,9
17,APARTADÓ,1,Apartado TyD,Daños Energía,12,5,2019-01-12,13
18,APARTADÓ,1,Apartado TyD,Daños Energía,13,6,2019-01-13,3
19,APARTADÓ,1,Apartado TyD,Daños Energía,14,0,2019-01-14,11
20,APARTADÓ,1,Apartado TyD,Daños Energía,15,1,2019-01-15,5
21,APARTADÓ,1,Apartado TyD,Daños Energía,16,2,2019-01-16,9
22,APARTADÓ,1,Apartado TyD,Daños Energía,17,3,2019-01-17,7
23,APARTADÓ,1,Apartado TyD,Daños Energía,18,4,2019-01-18,9
24,APARTADÓ,1,Apartado TyD,Daños Energía,19,5,2019-01-19,5
25,APARTADÓ,1,Apartado TyD,Daños Energía,20,6,2019-01-20,3
26,APARTADÓ,1,Apartado TyD,Daños Energía,21,0,2019-01-21,12
27,APARTADÓ,1,Apartado TyD,Daños Energía,22,1,2019-01-22,4
28,APARTADÓ,1,Apartado TyD,Daños Energía,23,2,2019-01-23,11
29,APARTADÓ,1,Apartado TyD,Daños Energía,24,3,2019-01-24,12
30,APARTADÓ,1,Apartado TyD,Daños Energía,25,4,2019-01-25,5
31,APARTADÓ,1,Apartado TyD,Daños Energía,26,5,2019-01-26,6
34,APARTADÓ,1,Apartado TyD,Daños Energía,29,1,2019-01-29,15
36,APARTADÓ,1,Apartado TyD,Daños Energía,31,3,2019-01-31,12
38,APARTADÓ,1,Apartado TyD,Mantenimiento Energía,4,4,2019-01-04,2
39,APARTADÓ,1,Apartado TyD,Mantenimiento Energía,5,5,2019-01-05,1
40,APARTADÓ,1,Apartado TyD,Mantenimiento Energía,7,0,2019-01-07,8
42,APARTADÓ,1,Apartado TyD,Mantenimiento Energía,10,3,2019-01-10,4
44,APARTADÓ,1,Apartado TyD,Mantenimiento Energía,12,5,2019-01-12,1
45,APARTADÓ,1,Apartado TyD,Mantenimiento Energía,13,6,2019-01-13,1
46,APARTADÓ,1,Apartado TyD,Mantenimiento Energía,14,0,2019-01-14,1
47,APARTADÓ,1,Apartado TyD,Mantenimiento Energía,16,2,2019-01-16,7
48,APARTADÓ,1,Apartado TyD,Mantenimiento Energía,17,3,2019-01-17,3
